"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"	"parents"	"evidence_codes"	"intersection"
"1"	query_1	TRUE	1.31418744637757e-36	405	1919	131	0.068264721208963	0.323456790123457	GO:0009615	GO:BP	response to virus	21017	3541	GO:0051707	ISS IBA TAS IEA,IDA IEA,IDA IMP IBA IEA,IDA,IEP TAS,IDA IBA IEA,IDA IEA,IDA IMP IEP IBA IEA,IDA IBA IEA,IMP IEA,IDA IBA IEA,IGI IEA,IDA IEP IBA IEA,IDA IMP IBA IEA,IMP IEA,IGI IEA,TAS,IDA IMP IGI IEA,IDA TAS IEA,IDA IBA IEA,IDA,IDA IMP IEP IBA IEA,IDA,IMP IEA,IBA,IDA IBA IEA,IDA IMP IBA IEA,IDA IBA,ISS IBA IEA,IDA IMP IBA IEA,IDA IEA,IMP IEA,IMP IBA IEA,IMP IEA,IEA,IDA IBA IEA,IEP IEA,IEA,NAS,IDA IBA IEA,IDA IBA IEA,IDA ISS,IDA,IDA,IEA,IDA IEA,IEA,IDA ISS IEA,IDA IMP,IDA IMP IEP IEA,IEA,ISS IEA,IDA,NAS,IDA,TAS NAS IEA,IDA,IDA,IEP,IMP IEA,IDA IMP IBA IEA,IEA,IDA,IDA IBA IEA,IEA,IMP,NAS,NAS,IEA,IEA,ISS,IMP IEA,IEA,IDA,IEA,IDA ISS IEA,IDA,IEA,ISS IEA,IEP,IDA IMP IEP IEA,IDA,IEA,IMP,IMP,IMP,IDA,IDA TAS IEA,IEP,IEA,NAS IEA,IEP TAS NAS IEA,IDA,IDA,NAS,IDA IBA NAS IEA,IEA,IDA,IDA,IDA IMP,IMP,IDA,ISS IBA NAS IEA,IDA,IEP ISS TAS NAS IEA,IDA IBA IEA,IMP TAS NAS,IDA IMP ISS IEA,ISS IBA NAS IEA,ISS IEA,IEP,NAS,IBA,TAS,IEA,IMP,ISS NAS IEA,TAS,IEA,ISS IEA,IEA,IDA,IDA IBA IEA,IMP IBA IEA,IDA IBA IEA,IEP NAS IEA,ISS IEA,IMP IEP,IBA IEA,ISS NAS IEA,ISS	OAS2,HERC5,MX2,GBP5,CCL5,IFITM2,IFI44L,MX1,BST2,PLSCR1,OAS3,DTX3L,OAS1,IFIT3,IFI6,PARP9,IFI44,STAT1,TRIM22,OASL,PMAIP1,IFIT1,TRIM21,ZNFX1,DDX60L,DDX60,IFIT2,BNIP3L,DHX58,PML,MYD88,IFI27,IFIT5,STAT2,IL15,ZC3HAV1,CXCL10,DDX17,JAK1,IFITM3,RSAD2,IL6,MORC3,MID2,GBP3,IRF1,VAMP8,IL23A,IFI16,EIF2AK2,IRF9,MLKL,NT5C3A,TNFAIP3,SMPD1,IFNGR2,TNF,BNIP3,NLRC5,RIOK3,ISG20,NFKB1,CREB3,APOBEC3G,GBP1,ABCC9,JAK2,RELA,UNC13D,CALR,LYST,ADAR,TICAM1,MICB,NLRP3,TRIM56,RNF185,TRIM38,RAB2B,SAP30BP,ISG15,IRF2,ITGB6,GBF1,LGALS8,MOV10,UAP1,IRF7,DCLK1,UNC93B1,IKBKE,TLR3,TRAF6,GBP2,CASP1,IFNL1,ITGB8,BCL3,RTP4,TRIM15,EXOSC4,NLRP1,IFNL3,TRIM26,IFNB1,RNASEL,IFNAR2,ZBP1,IFNL2,POU2F2,CLU,TYK2,IFIT1B,CCL4,IL33,MAPK11,IFNE,FOSL1,ITGAX,NMI,TGFB1,USP20,APOBEC3F,SLFN11,APOBEC3A,IFNK,BATF3,IL12A,PTPN22,AIM2,ACOD1
"2"	query_1	TRUE	3.91020262908592e-32	311	1919	107	0.0557582073996873	0.344051446945338	GO:0051607	GO:BP	defense response to virus	21017	13823	c("GO:0009615", "GO:0140546")	ISS IBA IEA,IDA IEA,IMP IBA IEA,IDA,IBA IEA,IDA IEA,IDA IEP IBA IEA,IDA IBA IEA,IMP IEA,IDA IBA IEA,IGI IEA,IDA IEP IBA IEA,IDA IBA IEA,IMP IEA,IGI IEA,IDA IMP IGI IEA,IDA IEA,IDA IBA IEA,IDA,IDA IEP IBA IEA,IDA,IMP IEA,IBA,IBA IEA,IDA IBA IEA,IDA IBA,IBA IEA,IDA IMP IBA IEA,IDA IEA,IMP IEA,IMP IBA IEA,IMP IEA,IEA,IEA,IEP IEA,IEA,IDA IBA IEA,IDA IBA IEA,IDA,IDA,IDA,IEA,IDA IEA,IEA,IDA ISS IEA,IDA IMP,IDA IEP IEA,IEA,ISS IEA,IDA,NAS,IEA,IDA,IDA,IEP,IEA,IMP IBA IEA,IDA,IDA IBA IEA,IEA,IMP,NAS,IEA,ISS,IEA,IEA,IDA,IEA,IDA ISS IEA,IDA,IEA,ISS IEA,IDA IMP IEA,IDA,IMP,IDA,IDA IEA,IEA,NAS,IEP TAS IEA,IDA,IDA,NAS,IDA IBA IEA,IDA,IDA IMP,IMP,IDA,ISS IBA IEA,IDA,ISS TAS IEA,IDA IBA IEA,IMP,IDA IMP ISS IEA,ISS IBA IEA,IBA,IEA,ISS IEA,IEA,IDA,IDA IBA IEA,IMP IBA IEA,IDA IBA IEA,IEA,IBA IEA,ISS NAS IEA,ISS	OAS2,HERC5,MX2,GBP5,IFITM2,IFI44L,MX1,BST2,PLSCR1,OAS3,DTX3L,OAS1,IFIT3,IFI6,PARP9,STAT1,TRIM22,OASL,PMAIP1,IFIT1,TRIM21,ZNFX1,DDX60L,DDX60,IFIT2,BNIP3L,DHX58,PML,MYD88,IFI27,IFIT5,STAT2,IL15,ZC3HAV1,CXCL10,DDX17,IFITM3,RSAD2,IL6,MORC3,MID2,GBP3,IRF1,VAMP8,IL23A,IFI16,EIF2AK2,IRF9,MLKL,NT5C3A,TNFAIP3,IFNGR2,TNF,BNIP3,NLRC5,RIOK3,ISG20,CREB3,APOBEC3G,GBP1,ABCC9,RELA,UNC13D,LYST,ADAR,TICAM1,MICB,NLRP3,TRIM56,RNF185,TRIM38,RAB2B,ISG15,IRF2,MOV10,UAP1,IRF7,UNC93B1,IKBKE,TLR3,TRAF6,GBP2,CASP1,IFNL1,RTP4,TRIM15,EXOSC4,NLRP1,IFNL3,TRIM26,IFNB1,RNASEL,IFNAR2,ZBP1,IFNL2,IFIT1B,IL33,IFNE,ITGAX,USP20,APOBEC3F,SLFN11,APOBEC3A,IFNK,PTPN22,AIM2,ACOD1
"3"	query_1	TRUE	1.32636802425528e-23	381	1919	107	0.0557582073996873	0.280839895013123	GO:0050727	GO:BP	regulation of inflammatory response	21017	13226	c("GO:0006954", "GO:0031347", "GO:0032101")	ISS IEA,TAS,IEA,IC,TAS,NAS,ISS,IEA,IDA IEA,TAS,ISS IBA IEA,IC,IDA,IDA,ISS IEA,ISS IEA,ISS IEA,IMP IGI,IDA,IEA,IC,ISS IBA IEA,IDA ISS IEA,IDA IBA,IC,ISS IEA,IBA,IMP,IDA TAS,IDA,ISS,IMP,IC,IEA,IMP,ISS IEA,IDA,ISS TAS IEA,IDA ISS IBA IEA,IMP,IMP,IMP IEA,IEA,TAS,ISS IEA,TAS,IDA,ISO IEA,ISS,IDA,ISS IEA,IEA,IDA ISS IEA,ISS IEA,TAS,IMP IBA IEA,TAS,IMP IBA,IEA,IEA,IMP,IEA,IMP IEA,IMP,IBA IEA,TAS,ISS IEA,ISS,IMP,IMP ISS IEA,ISS IEA,IMP ISO,TAS,IC,IC,TAS IEA,IEA,ISS,IDA ISO IBA NAS,ISS NAS IEA,TAS,ISS IEA,IDA IC,ISS TAS,ISS IBA IEA,ISS IEA,IDA,IBA IEA,ISS,IDA,IDA,IEA,IDA ISS IBA TAS IEA,IC,ISS IEA,ISS IEA,ISS IEA,IMP,IDA NAS,IEA,IEA,ISS IBA,IEA,ISS,NAS,ISS,TAS	GBP5,CCL5,NT5E,IL6ST,BIRC3,SAA1,TNIP1,SOCS3,IFI35,MMP9,SEMA7A,OSMR,HLA-E,NFKBIA,ADAM8,MYD88,FNDC4,SERPINE1,NINJ1,RICTOR,IL15,ANXA1,CYLD,TNFAIP6,PRKCD,LDLR,PPARD,APP,IL6,CASP4,GBP3,VAMP8,IL23A,CTSC,MFHAS1,TNFAIP3,ETS1,TNF,PTGER4,TRADD,TMSB4X,ELF4,NFKB1,FURIN,SPHK1,BIRC2,GBP1,TNC,MGLL,JAK2,RELA,IL1RL1,STAT3,METRNL,SRC,SBNO2,KLF4,RORA,ZFP36,IER3,PLCG2,NLRP3,RIPK1,NFKBIZ,CD47,MMP3,NR1D1,ZP3,SLC39A8,MDK,IL22RA1,MEFV,RHBDF2,PSMA6,TLR3,LYN,C3,GBP2,CASP1,PTGS2,PLK2,LACC1,NLRP1,CCL3,TNFRSF1B,CEBPA,LGALS1,IL1R1,ZBP1,LRFN5,IL10RA,IDO1,IL33,ACE2,GPR4,NMI,DNASE1,TGFB1,S100A9,ADORA2A,DUOXA1,CD200,CCL24,PDE2A,AIM2,ACOD1,S100A12
"4"	query_1	TRUE	4.23082812394988e-23	484	1919	123	0.0640958832725378	0.254132231404959	GO:0031349	GO:BP	positive regulation of defense response	21017	7140	c("GO:0006952", "GO:0031347", "GO:0048584")	TAS,IDA ISS IEA,TAS,IMP,IMP,IMP,IMP IBA IEA,IDA,IC,TAS,IMP,IDA,ISS,IDA TAS,IDA IEA,ISS IEA,IC,IMP,IDA IMP ISS IBA IEA,IDA,IDA IBA IEA,ISS IEA,IDA IMP IBA IEA,IMP IGI,IDA ISS,IC,IMP,ISS IEA,IEA,IDA,ISS IEA,IMP,IDA TAS,IEA,IDA,ISS,ISS IEA,IMP,IC,IDA IBA IEA,IEA,ISS IEA,IMP IEA,IDA,IDA NAS IEA,IDA,ISS IEA,IMP IBA,IMP,IDA,ISS TAS IEA,ISS IEA,IMP,IDA IMP,IMP,IEA,TAS,IDA,IDA,IDA,IEA,IDA TAS,ISS IBA IEA,IDA IMP ISS IBA IEA,IDA IBA,IMP,IMP ISS TAS IEA,IEA,IDA IBA,IDA,IMP IEA,IMP IEA,IMP IBA,IBA IEA,IDA,IDA,IMP,ISS,IMP ISS IEA,IMP ISO NAS,IDA ISS TAS IEA,IDA,IMP IBA IEA,IMP,IDA IEA,IDA IC IEA,ISS TAS IEA,IDA TAS,IEA,ISS,IDA ISO NAS,ISS IEA,IMP,IMP,IDA,IDA IMP NAS,ISS TAS,IDA IEA,ISO IEA,NAS,ISS IEA,ISS IEA,ISS,IDA,ISS IBA IEA,IEA,ISS IBA TAS IEA,IEA,ISS IEA,ISS IEA,IMP,IDA NAS,ISS IBA,TAS,TAS,IDA IMP IBA IEA,IEA,IDA,ISS,IDA IMP IBA IEA,IDA IBA NAS IEA,IDA ISS,TAS	CTSS,GBP5,CCL5,PLSCR1,OAS3,OAS1,PARP9,TNIP3,IL6ST,BIRC3,OPTN,OASL,TNIP1,IRAK2,IFI35,ZNFX1,OSMR,DDX60,DHX58,HLA-E,NFKBIA,ADAM8,MYD88,SERPINE1,NINJ1,IL15,ZC3HAV1,RPS6KA3,LDLR,HSPA8,RSAD2,APP,IL6,PELI1,CASP4,GBP3,IRF1,VAMP8,IL23A,IFI16,CTSC,EIF2AK2,MFHAS1,TAX1BP1,TNFAIP3,ETS1,SLC15A3,SEC14L1,HSPA1B,HLA-F,TNF,PTGER4,TRADD,NLRC5,RIOK3,TMED7-TICAM2,BIRC2,GBP1,CD274,RELA,IL1RL1,SRC,MAPKAPK2,TICAM1,S100A14,HSPA1A,PLCG2,NLRP3,TRIM56,RNF185,RIPK1,NFKBIZ,NECTIN2,CD47,ZDHHC18,NAGK,NR1D1,ZP3,MDK,MEFV,IRF7,SQSTM1,UNC93B1,UFD1L,IKBKE,TLR3,LYN,TRAF6,C3,GBP2,CASP1,PTGS2,EPG5,TRIM15,LACC1,NLRP1,CCL3,MARK4,MMRN2,IFNB1,CEBPA,GPR108,SH2D1B,LGALS1,ZBP1,IDO1,IL33,FOSL1,GPR4,NMI,TGFB1,S100A9,TNIP2,PAK3,IFNK,TICAM2,CCL24,IL12A,PDE2A,PTPN22,AIM2,ACOD1,S100A12
"5"	query_1	TRUE	2.71162736275386e-21	486	1919	120	0.0625325690463783	0.246913580246914	GO:0001819	GO:BP	positive regulation of cytokine production	21017	476	c("GO:0001816", "GO:0001817", "GO:0010628", "GO:0051240")	IMP,IMP ISS IEA,IDA,IMP,ISS IEA,IEA,IMP,NAS,IDA,IMP,IDA,TAS,ISS IEA,IDA,IDA NAS,ISS IBA IEA,ISS IEA,IDA,IDA,ISS IEA,IDA IMP ISS IEA,IMP,IDA IBA,IDA IBA,IDA IBA,IDA,ISS IEA,IGI,IDA IMP IGI ISS NAS,IEA,IDA,IMP ISS IEA,IDA IMP TAS,IDA TAS,ISS IEA,IEA,IMP,IDA,IDA IMP IGI ISS IEA,IDA IEA,ISS IEA,IMP,IGI,ISS,IDA,IDA ISS NAS IEA,IDA IMP IGI IEA,IEA,IMP IGI ISS,IEA,IEA,IMP ISS IEA,IEA,IMP,IDA ISS IBA IEA,IMP,IDA,ISS IEA,IMP,IEA,ISS,IDA IMP,ISS IEA,IDA,IDA,TAS,IEA,ISS,IMP IEA,IMP,IDA,IDA,IDA IMP TAS IEA,IEA,IEA,IDA,IDA,IDA IMP ISS IEA,IMP IEA,IDA,TAS,IDA IMP ISO NAS,ISS,IDA,IMP,IDA IBA IEA,ISS IEA,IMP,IBA,IEA,IMP,IMP,IDA,IDA ISS,IEA,IMP,ISS,IDA,ISS IEA,ISS IEA,IDA,IEA,IDA,IDA NAS,IEA,IDA ISS IBA IEA,IMP,IDA,IDA IMP TAS IEA,IMP,IDA IEA,TAS,IDA,IGI,IDA IMP IBA,IDA,IMP IEA,IDA IEA,IMP,ISS	OAS2,GBP5,IL32,PNP,TMEM106A,FERMT1,OAS3,CD86,HLA-A,OAS1,STAT1,IL6ST,EGR1,B2M,SAA1,SEMA7A,DHX58,HLA-E,IL6R,ADAM8,MYD88,SERPINE1,IL15,ZC3HAV1,ANXA1,CD55,RSAD2,APP,IL6,PELI1,CSF2,IRF1,IL23A,IFI16,EIF2AK2,PTAFR,HSPA1B,HLA-F,TNF,PANX1,PTGER4,RIOK3,PSEN1,SPHK1,CD274,JAK2,RELA,IL1RL1,STAT3,SERPINB7,SRC,PRKD2,MAPKAPK2,RORA,TICAM1,HSPA1A,CD276,PLCG2,CD58,NLRP3,TRIM56,BTN3A1,RAB2B,RIPK1,ISG15,HMOX1,AKAP12,ZP3,CARD11,MDK,UAP1,MEFV,IRF7,TMF1,UNC93B1,ARHGEF2,IKBKE,TLR3,TRAF6,C3,EBI3,CASP1,LAPTM5,IFNL1,HMSD,IL18R1,PTGS2,ALOX15B,TNFRSF14,BCL3,AGPAT2,TRIM15,LACC1,NLRP1,ARID5A,BTN3A2,CCL3,IL1R1,POU2F2,ZBTB7B,PAEP,CD83,CLU,TYK2,IDO1,IL33,MAPK11,HPSE,TGFB1,RGCC,MIF,PIK3CD,IL7,CD200,TICAM2,IL12A,PTPN22,AIM2,CSF1R,FCER1G
"6"	query_1	TRUE	6.86169352270262e-21	478	1919	118	0.061490359562272	0.246861924686192	GO:0045785	GO:BP	positive regulation of cell adhesion	21017	11617	c("GO:0007155", "GO:0030155", "GO:0048522")	IDA,IEA,ISS,IDA,IEA,IBA NAS,IDA,IEA,IMP TAS,IDA IEA,IBA,ISS,IDA NAS,IEA,IMP,TAS,IEA,ISS IEA,IDA IMP IBA,IDA,IDA,ISS IEA,IDA,IDA,IMP,IBA IEA,IDA IBA,IEA,IDA,IMP,IMP,IC,IDA,IMP,IMP,IMP,IDA ISS IBA IC IEA,IGI,IEA,IBA,IEA,ISS IEA,IMP,IDA IMP IEA,IEA,IEA,IMP,IEA,IDA IBA TAS IEA,IMP,IMP IGI,IDA NAS IEA,IMP,IEA,IDA,IMP,TAS IEA,IMP,IMP,IMP,IEA,IDA,IGI,IDA,IEA,IDA,IMP,ISS,ISS IEA,IMP,ISS IEA,IDA IBA IEA,ISS,IDA IEA,IDA IMP ISS IEA,IDA IBA,IDA IBA,IMP,ISS,IEA,IEA,TAS,IMP IEA,IMP,TAS,IEA,IMP,IDA,TAS,ISS,IMP,IBA IEA,IEA,ISS IEA,ISS IEA,IEA,IDA IEA,IDA NAS,IDA IEA,IMP ISS IEA,IDA IEA,IMP,NAS,IBA,IEA,TAS,NAS,ISS IEA,IMP,ISS IEA,IMP,IEA,IMP,IDA,IMP ISS IEA,IDA,IBA,IBA IEA	CCL5,ITGA5,MAP4K4,PNP,FERMT1,CD86,HLA-A,ITGA2,IL6ST,TNFSF14,B2M,ABL2,SAA1,IL7R,PLAUR,HSPH1,EGR3,TGM2,PDPN,FSTL3,HLA-E,ADAM8,FN1,ADAM19,PTK2B,IL15,ANXA1,CYLD,CD55,CD44,JAK1,FOXA1,IL6,S100A10,NEDD9,AGR2,IL23A,JUP,PTAFR,TNFSF9,TNFSF13B,CSF1,ETS1,TNF,MYO10,SDC4,P4HB,BTN2A2,CD274,AFDN,FERMT2,JAK2,RELA,UNC13D,ITGAV,TNFSF18,SRC,CALR,PRKD2,STX4,KIFAP3,CD276,ILK,NRG1,NLRP3,VEGFA,PIEZO1,MFSD2B,NFKBIZ,NFAT5,FUT4,CD47,ZP3,CARD11,MDK,IGF2,PODXL,DOCK5,NFKBID,PREX1,ITGB3,LYN,TRAF6,TESK1,EBI3,DAB2,FLNA,TNFRSF14,MAP3K8,ANK3,RRAS,CCDC80,LGALS1,CITED2,ZBTB7B,CD83,KLHL25,TYK2,AMBRA1,NCKAP1L,SMAD7,LIF,LAMB2,IL36B,TGFB1,CD70,LAMA1,CHST2,GCNT2,IL7,EFEMP2,CORO1A,EPHA4,IL4I1,SOCS1,IL12A,HLA-DOB,PTPN22
"7"	query_1	TRUE	5.14436056197543e-19	430	1919	107	0.0557582073996873	0.248837209302326	GO:0045088	GO:BP	regulation of innate immune response	21017	11271	c("GO:0002831", "GO:0031347", "GO:0032101", "GO:0045087", "GO:0050776")	TAS,IDA ISS IEA,TAS,IMP,IMP,IDA,IMP,IMP,IDA IMP IBA IEA,IDA,IMP,TAS,IMP IEA,IDA,ISS,IDA TAS,IDA IEA,IDA,ISS IEA,IMP,IDA IMP ISS IBA IEA,ISS IEA,IDA,IDA IBA IEA,ISS IEA,IDA IMP IBA IEA,ISS,IMP,IMP,ISS IEA,IDA,TAS,ISS IEA,IEA,ISS TAS IEA,IDA IBA IEA,ISS IEA,IDA,IMP IEA,IDA,IDA ISS NAS IEA,ISS IEA,IMP IBA,IMP,IDA,IEA,IDA IMP IBA IEA,IMP,IEA,TAS,IDA,IDA,IDA TAS,ISS IBA IEA,IEA,IDA IMP ISS IBA IEA,IDA IBA,IMP,IMP ISS TAS IEA,IEA,IDA IBA,IDA,IEA,IMP IBA,IMP,IDA,IDA,IMP,IDA,IMP NAS,IDA ISS TAS IEA,IDA,IMP IBA IEA,IMP,ISS IBA IEA,IDA IEA,IDA IEA,ISS TAS IEA,IDA TAS,ISS,NAS,IDA,IMP,IMP,IDA,IDA IMP NAS,IDA IEA,NAS,ISS IEA,ISS,ISS IBA IEA,IDA,IDA,IEA,IDA IBA,IMP ISS IEA,IDA,NAS,ISS IBA,TAS,TAS,IDA IMP IBA IEA,IDA,IDA IMP IBA IC IEA,IDA IBA NAS IEA,ISS,NAS	CTSS,GBP5,CCL5,PLSCR1,OAS3,HLA-A,OAS1,CEACAM1,PARP9,TNIP3,SERPINB9,BIRC3,PARP14,OASL,TNIP1,IRAK2,IFI35,TRIM21,ZNFX1,DDX60,DHX58,N4BP1,HLA-E,NFKBIA,ADAM8,MYD88,NINJ1,STAT2,ZC3HAV1,RPS6KA3,HSPA8,PTPN1,RSAD2,PELI1,IRF1,IFI16,EIF2AK2,SFN,MFHAS1,TAX1BP1,TNFAIP3,SLC15A3,SEC14L1,HSPA1B,HLA-F,TNF,NLRC5,RIOK3,TMED7-TICAM2,BIRC2,CD274,RELA,SRC,MAPKAPK2,ADAR,TICAM1,S100A14,HSPA1A,PLCG2,NLRP3,TRIM56,RNF185,NFKBIZ,NECTIN2,ISG15,ZDHHC18,NAGK,NR1D1,CFH,MEFV,IRF7,SQSTM1,UNC93B1,UFD1L,TRAFD1,IKBKE,TLR3,LYN,TRAF6,GBP2,CASP1,PIM1,EPG5,TRIM15,LACC1,NLRP1,MARK4,IFNB1,GPR108,SH2D1B,ZBP1,USP38,EIF4E2,FOSL1,SUSD4,NMI,TGFB1,S100A9,TNIP2,PAK3,IFNK,TICAM2,IL12A,PTPN22,AIM2,ACOD1,NR1H2
"8"	query_1	TRUE	7.39112187657934e-18	337	1919	90	0.0468994267847837	0.267062314540059	GO:0032496	GO:BP	response to lipopolysaccharide	21017	7607	c("GO:0002237", "GO:0033993", "GO:1901700")	IEA,ISS,IEA,IBA,IMP,IBA,IDA IBA,ISS IEA,IBA,ISS IEA,IBA IEA,TAS,IEA,IEA,IMP ISS IEA,IEA,ISS IEA,IMP,IEA,ISS IEA,ISS IEA,IDA,IMP IBA IEA,IMP,IDA IEA,IEA,ISS,IEA,IDA IMP,IDA IBA,IEA,IEA,IEA,IDA,IMP IEA,IDA,IBA,ISS IEA,IMP IBA IEA,IEA,ISS IEA,ISS IEA,IDA IMP IEA,ISS IBA IEA,IEP IBA,IMP IEA,IEA,IEA,IEA,IEA,IEA,IMP,TAS,IEA,IMP,IBA,IEA,ISS IEA,IDA IBA IEA,IDA,ISS IEA,ISS,IBA,IDA IEA,IDA IMP,IEA,IEA,IBA IEA,IEA,IMP IEA,ISS IEA,IEA,IEA,IDA,IEA,IEA,IEA,IBA,IBA,ISS IBA,IEA,IEA,IEA,IBA,IDA IMP IBA,IEP,IDA,IEA,IMP,IDA	GBP5,CD68,ABCA1,CD86,CHMP5,IL36G,TNIP3,SLPI,TNIP1,NOCT,IRAK2,MMP9,GJB2,SOD2,TRIB1,NFKBIA,MYD88,SERPINE1,NFKB2,BMP6,RPS6KA3,CD55,CXCL10,IL6,PELI1,CSF2,GBP3,PTAFR,TNFAIP3,CXCL8,TNF,PTGER4,ADM,GCH1,NFKB1,CYP27B1,CD274,JAK2,RELA,SRC,SBNO2,MAPKAPK2,ZFP36,TICAM1,S100A14,PLCG2,EDN1,NLRP3,IL24,CSF3,NFKBIZ,VIM,MMP3,AKAP12,NR1D1,CXCL3,FOS,LYN,TRAF6,CASP7,NR4A1,GBP2,CXCL2,ANKRD1,CASP1,PTGS2,MAOB,NFKBIB,ARID5A,TNFRSF1B,FER,CMPK2,IL10RA,FCAR,IDO1,HDAC5,PTGIR,IL36B,S100A9,TNIP2,IL18BP,MIF,PTGER2,CXCL1,TICAM2,S100A7,IL12A,ASS1,PTPN22,ACOD1
"9"	query_1	TRUE	9.11490428860904e-18	478	1919	112	0.0583637311099531	0.234309623430962	GO:0022407	GO:BP	regulation of cell-cell adhesion	21017	6598	c("GO:0030155", "GO:0098609")	IDA,IDA,IBA NAS,IDA,ISS,IMP TAS,IDA IEA,IBA,ISS,IEA,IDA,IMP,TAS,IEA,IDA IMP IBA,IDA,IDA,IDA ISS IBA IEA,IDA,IDA,IEA,IDA,ISS IEA,IBA IEA,IDA IBA,IEA,IDA,ISS IEA,IMP,IMP,IC,IDA,IEA,IEA,ISS IEA,IDA ISS IBA IC IEA,IEA,IBA,IEA,IDA,IMP,IDA IEA,IEA,IMP,IMP ISS IEA,ISS IEA,IDA IMP IBA TAS IEA,IMP,IDA NAS IEA,IMP,IMP TAS,IDA IGI,IEA,IDA,IEA,IDA,IMP,IEA,ISS,ISS IEA,IMP,IMP ISS IEA,IDA IBA IEA,ISS,IDA IEA,IMP ISS IEA,IDA IBA,IEA,IDA ISS IBA IEA,IBA IEA,ISS,IDA,ISS IBA TAS IEA,IMP IEA,IDA,TAS,NAS,ISS,IDA,IDA IBA,TAS,ISS,IDA,IMP,IEA,ISS IEA,ISS IEA,IEA,IDA IEA,IDA NAS,IDA IEA,IEA,IMP ISS IEA,IDA ISS IEA,IBA,IDA IEA,IDA,IDA,TAS,ISS IEA,IEA,IMP,ISS IEA,IEA,IDA IMP,IMP ISS IEA,IDA,IMP,IMP,IBA,IMP IBA IEA,IDA IMP	CCL5,PNP,CD86,HLA-A,CEACAM1,IL6ST,TNFSF14,B2M,ABL2,IL7R,IL1RN,PLAUR,HSPH1,EGR3,PDPN,FSTL3,HLA-E,ADAM8,BMP2,ADAM19,NRARP,BMP6,SERPINE2,IL15,ANXA1,CYLD,CD55,PRKCD,CD44,JAK1,FOXA1,IL6,PELI1,SWAP70,IRF1,IL23A,PTAFR,TNFSF9,TNFSF13B,CD9,ETS1,TNF,MYO10,SDC4,ABCA12,BTN2A2,CD274,AFDN,JAK2,RELA,SRC,KLF4,KIFAP3,CD276,NLRP3,VEGFA,PIEZO1,DUSP22,MFSD2B,NFKBIZ,NFAT5,FUT4,CD47,ZP3,CARD11,MDK,IGF2,UBASH3B,PODXL,PAG1,NFKBID,C1QTNF1,LYN,TRAF6,EPHB3,EBI3,FXYD5,LAPTM5,IFNL1,TNFRSF14,MAP3K8,ANK3,IFNB1,ADTRP,LGALS1,CITED2,ZBTB7B,CD83,KLHL25,TYK2,AMBRA1,IDO1,NCKAP1L,SMAD7,IL36B,TGFB1,RGCC,B4GALNT2,CD70,CHST2,ADORA2A,GCNT2,IL7,CORO1A,IL4I1,SOCS1,IL12A,ZDHHC2,ASS1,HLA-DOB,PTPN22,MDGA1
"10"	query_1	TRUE	9.05131150683155e-17	355	1919	91	0.0474205315268369	0.256338028169014	GO:0002237	GO:BP	response to molecule of bacterial origin	21017	770	c("GO:0009617", "GO:0043207")	IEA,ISS,IEA,IBA,IMP,IBA,IDA IBA,ISS IEA,IEA,IBA,ISS IEA,IBA IEA,TAS,IEA,IEA,IMP ISS IEA,IEA,ISS IEA,IMP,IEA,ISS IEA,ISS IEA,IDA,IMP IBA IEA,IMP NAS,IDA IEA,IEA,ISS,IEA,IDA IMP IEA,IDA IBA,IEA,IEA,IEA,IDA,IMP IEA,IDA,IBA,ISS IEA,IMP IBA IEA,IEA,ISS IEA,ISS IEA,IDA IMP IEA,ISS IBA IEA,IEP IBA,IMP IEA,IEA,IEA,IEA,IEA,IEA,IMP,TAS,IEA,IMP,IBA,IEA,ISS IEA,IDA IBA IEA,IDA,ISS IEA,ISS,IDA IBA,IDA IEA,IDA IMP,IEA,IEA,IBA IEA,IEA,IMP IEA,ISS IEA,IEA,IEA,IDA,IEA,IEA,IEA,IBA,IBA,ISS IBA,IEA,IEA,IEA,IBA,IDA IMP IBA,IEP,IDA,IEA,IMP,IDA ISS	GBP5,CD68,ABCA1,CD86,CHMP5,IL36G,TNIP3,SLPI,B2M,TNIP1,NOCT,IRAK2,MMP9,GJB2,SOD2,TRIB1,NFKBIA,MYD88,SERPINE1,NFKB2,BMP6,RPS6KA3,CD55,CXCL10,IL6,PELI1,CSF2,GBP3,PTAFR,TNFAIP3,CXCL8,TNF,PTGER4,ADM,GCH1,NFKB1,CYP27B1,CD274,JAK2,RELA,SRC,SBNO2,MAPKAPK2,ZFP36,TICAM1,S100A14,PLCG2,EDN1,NLRP3,IL24,CSF3,NFKBIZ,VIM,MMP3,AKAP12,NR1D1,CXCL3,FOS,LYN,TRAF6,CASP7,NR4A1,GBP2,CXCL2,ANKRD1,CASP1,PTGS2,MAOB,NFKBIB,ARID5A,TNFRSF1B,FER,CMPK2,IL10RA,FCAR,IDO1,HDAC5,PTGIR,IL36B,S100A9,TNIP2,IL18BP,MIF,PTGER2,CXCL1,TICAM2,S100A7,IL12A,ASS1,PTPN22,ACOD1
