term_name,Group,QC
'de novo' post-translational protein folding,protein modification/signaling,+
'de novo' protein folding,protein modification/signaling,+
14-3-3 protein binding,other,+
17-beta-hydroxysteroid dehydrogenase (NAD+) activity,metabolic process,+
2'-deoxyribonucleotide metabolic process,metabolic process,+
2-oxoglutarate metabolic process,metabolic process,+
"2 iron, 2 sulfur cluster binding",metabolic process,+
3'-5'-RNA exonuclease activity,cell cycle,+
3'-5' DNA helicase activity,cell cycle,+
3'-UTR-mediated mRNA destabilization,gene regulation,+
"4 iron, 4 sulfur cluster binding",metabolic process,+
acetyl-CoA biosynthetic process,metabolic process,+
acetyl-CoA metabolic process,metabolic process,+
acetylation-dependent protein binding,protein modification/signaling,+
acetylglucosaminyltransferase activity,metabolic process,+
actin binding,cellular component organization,+
actin cytoskeleton organization,cellular component organization,+
actin filament,cellular component organization,+
actin filament-based movement,cellular component organization,+
actin filament-based process,cellular component organization,+
actin filament-based transport,transport,+
actin filament binding,cellular component organization,+
actin filament bundle assembly,cellular component organization,+
actin filament depolymerization,cellular component organization,+
actin filament organization,cellular component organization,+
actin filament severing,cellular component organization,+
action potential,neural related process,+
activated T cell proliferation,immune system process,+
activation of cysteine-type endopeptidase activity,metabolic process,+
activation of cysteine-type endopeptidase activity involved in apoptotic process,cell death,+
activation of GTPase activity,protein modification/signaling,+
activation of immune response,immune system process,+
activation of innate immune response,immune system process,+
activation of Janus kinase activity,protein modification/signaling,+
activation of NF-kappaB-inducing kinase activity,immune system process,+
activation of protein kinase activity,protein modification/signaling,+
active transmembrane transporter activity,transport,+
activin binding,other,+
actomyosin,cellular component organization,+
actomyosin structure organization,cellular component organization,+
acute-phase response,stress response,+
acute inflammatory response,immune system process,+
acute inflammatory response to antigenic stimulus,immune system process,+
acylglycerol metabolic process,metabolic process,+
acylglycerol O-acyltransferase activity,metabolic process,+
acyltransferase activity,metabolic process,+
"acyltransferase activity, transferring groups other than amino-acyl groups",metabolic process,+
adaptation of signaling pathway,protein modification/signaling,+
adaptive immune response,immune system process,+
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,immune system process,+
adenyl-nucleotide exchange factor activity,other,+
adenyl nucleotide binding,metabolic process,+
adenyl ribonucleotide binding,metabolic process,+
adherens junction,cell adhesion,+
adherens junction organization,cell adhesion,+
adipose tissue development,morphogenesis/development,+
ADP binding,metabolic process,+
ADP metabolic process,metabolic process,+
adult behavior,neural related process,+
aerobic electron transport chain,metabolic process,+
aerobic respiration,metabolic process,+
alcohol binding,other,+
alcohol biosynthetic process,metabolic process,+
alcohol metabolic process,metabolic process,+
aldehyde dehydrogenase (NAD+) activity,metabolic process,+
alditol:NADP+ 1-oxidoreductase activity,metabolic process,+
aldo-keto reductase (NADP) activity,metabolic process,+
alpha-amino acid biosynthetic process,metabolic process,+
alpha-amino acid catabolic process,metabolic process,+
alpha-amino acid metabolic process,metabolic process,+
alpha-beta T cell activation,immune system process,+
alpha-beta T cell activation involved in immune response,immune system process,+
alpha-beta T cell differentiation,immune system process,+
alpha-beta T cell differentiation involved in immune response,immune system process,+
alpha-beta T cell proliferation,immune system process,+
alpha-tubulin binding,cellular component organization,+
"alternative mRNA splicing, via spliceosome",gene regulation,+
ameboidal-type cell migration,other,+
amelogenesis,morphogenesis/development,+
amide binding,protein modification/signaling,+
amide biosynthetic process,metabolic process,+
amide transport,transport,+
amine biosynthetic process,metabolic process,+
amino acid activation,metabolic process,+
amino acid biosynthetic process,metabolic process,+
amino acid catabolic process,metabolic process,+
amino acid metabolic process,metabolic process,+
amino sugar metabolic process,metabolic process,+
aminoacyltransferase activity,metabolic process,+
aminoglycan biosynthetic process,metabolic process,+
AMP binding,metabolic process,+
amyloid-beta clearance,neural related process,+
amyloid-beta metabolic process,neural related process,+
amyloid fibril formation,neural related process,+
amyloid precursor protein catabolic process,metabolic process,+
amyloid precursor protein metabolic process,metabolic process,+
anatomical structure formation involved in morphogenesis,morphogenesis/development,+
anatomical structure homeostasis,multicellular organismal process,+
anatomical structure maturation,morphogenesis/development,+
angiogenesis,morphogenesis/development,+
angiogenesis involved in wound healing,morphogenesis/development,+
animal organ formation,multicellular organismal process,+
animal organ morphogenesis,morphogenesis/development,+
anion binding,other,+
annealing activity,cell cycle,+
anoikis,cell death,+
anterior/posterior pattern specification,morphogenesis/development,+
antigen processing and presentation,immune system process,+
