"","x"
"1","#E16A86"
"2","#DF6D7A"
"3","#DC716D"
"4","#D97460"
"5","#D57851"
"6","#D07C40"
"7","#CA802C"
"8","#C4830B"
"9","#BE8700"
"10","#B68B00"
"11","#AF8E00"
"12","#A69100"
"13","#9D9400"
"14","#939700"
"15","#889A00"
"16","#7B9D00"
"17","#6DA000"
"18","#5DA200"
"19","#49A420"
"20","#2CA637"
"21","#00A848"
"22","#00A957"
"23","#00AB65"
"24","#00AC72"
"25","#00AC7E"
"26","#00AD89"
"27","#00AD95"
"28","#00AD9F"
"29","#00ACA9"
"30","#00ABB3"
"31","#00AABB"
"32","#00A8C4"
"33","#00A5CB"
"34","#00A2D2"
"35","#009FD8"
"36","#009BDD"
"37","#3197E1"
"38","#5692E4"
"39","#708DE6"
"40","#8488E6"
"41","#9582E6"
"42","#A47DE4"
"43","#B177E1"
"44","#BD72DD"
"45","#C66ED8"
"46","#CE6AD2"
"47","#D567CB"
"48","#DA65C4"
"49","#DE64BB"
"50","#E163B2"
"51","#E264A8"
"52","#E3659D"
"53","#E26892"
