"Term_id"	"Group"	"QC"
"1"	"GO:0000002"	"cellular component organization"	"+"
"2"	"GO:0000012"	"stress response"	"0.953492699707865"
"3"	"GO:0000017"	"transport"	"0.853741352641622"
"4"	"GO:0000018"	"cell cycle"	"0.934091334342871"
"5"	"GO:0000019"	"cell cycle"	"0.978566485977123"
"6"	"GO:0000022"	"cell cycle"	"0.992482116135903"
"7"	"GO:0000023"	"metabolic process"	"0.99080804801949"
"8"	"GO:0000025"	"metabolic process"	"0.987400128914061"
"9"	"GO:0000027"	"cellular component organization"	"0.979448492308431"
"10"	"GO:0000028"	"cellular component organization"	"+"
"11"	"GO:0000030"	"metabolic process"	"+"
"12"	"GO:0000038"	"metabolic process"	"0.953508839035284"
"13"	"GO:0000041"	"transport"	"+"
"14"	"GO:0000045"	"cellular component organization"	"+"
"15"	"GO:0000049"	"gene regulation"	"+"
"16"	"GO:0000050"	"metabolic process"	"0.903661922678513"
"17"	"GO:0000052"	"metabolic process"	"0.932286929235148"
"18"	"GO:0000053"	"metabolic process"	"0.955124115718562"
"19"	"GO:0000054"	"transport"	"+"
"20"	"GO:0000055"	"transport"	"0.945407141726944"
"21"	"GO:0000056"	"transport"	"0.911451954858778"
"22"	"GO:0000062"	"metabolic process"	"+"
"23"	"GO:0000070"	"cell cycle"	"+"
"24"	"GO:0000075"	"cell cycle"	"+"
"25"	"GO:0000076"	"cell cycle"	"+"
"26"	"GO:0000077"	"cell cycle"	"+"
"27"	"GO:0000079"	"protein modification/signaling"	"+"
"28"	"GO:0000082"	"cell cycle"	"+"
"29"	"GO:0000086"	"cell cycle"	"+"
"30"	"GO:0000096"	"metabolic process"	"+"
"31"	"GO:0000097"	"metabolic process"	"+"
"32"	"GO:0000098"	"metabolic process"	"0.97439344702718"
"33"	"GO:0000101"	"transport"	"0.868261476164812"
"34"	"GO:0000103"	"metabolic process"	"0.878381333242741"
"35"	"GO:0000105"	"metabolic process"	"0.927531980800305"
"36"	"GO:0000122"	"gene regulation"	"+"
"37"	"GO:0000123"	"gene regulation"	"+"
"38"	"GO:0000132"	"cell cycle"	"0.77952474759101"
"39"	"GO:0000139"	"ER/endosome/lysosome related process"	"+"
"40"	"GO:0000149"	"transport"	"+"
"41"	"GO:0000154"	"gene regulation"	"+"
"42"	"GO:0000165"	"protein modification/signaling"	"+"
"43"	"GO:0000175"	"cell cycle"	"+"
"44"	"GO:0000183"	"gene regulation"	"0.728288085410116"
"45"	"GO:0000184"	"gene regulation"	"+"
"46"	"GO:0000209"	"protein modification/signaling"	"+"
"47"	"GO:0000212"	"cell cycle"	"+"
"48"	"GO:0000217"	"gene regulation"	"+"
"49"	"GO:0000226"	"cellular component organization"	"+"
"50"	"GO:0000244"	"cellular component organization"	"0.690822415100793"
"51"	"GO:0000245"	"gene regulation"	"0.483309677998648"
"52"	"GO:0000255"	"metabolic process"	"0.963970968930808"
"53"	"GO:0000256"	"metabolic process"	"0.993199440414123"
"54"	"GO:0000266"	"cellular component organization"	"0.934602422194522"
"55"	"GO:0000270"	"metabolic process"	"0.614426852487623"
"56"	"GO:0000271"	"metabolic process"	"0.938975128557844"
