"term_id"	"Subcluster"
"1"	"GO:0000002"	2
"2"	"GO:0000012"	2
"3"	"GO:0000017"	12
"4"	"GO:0000018"	2
"5"	"GO:0000019"	2
"6"	"GO:0000022"	22
"7"	"GO:0000023"	49
"8"	"GO:0000025"	49
"9"	"GO:0000027"	10
"10"	"GO:0000028"	10
"11"	"GO:0000038"	21
"12"	"GO:0000041"	34
"13"	"GO:0000045"	11
"14"	"GO:0000050"	21
"15"	"GO:0000052"	21
"16"	"GO:0000053"	21
"17"	"GO:0000054"	37
"18"	"GO:0000055"	37
"19"	"GO:0000056"	37
"20"	"GO:0000070"	22
"21"	"GO:0000075"	22
"22"	"GO:0000076"	22
"23"	"GO:0000077"	22
"24"	"GO:0000079"	28
"25"	"GO:0000082"	22
"26"	"GO:0000086"	22
"27"	"GO:0000096"	21
"28"	"GO:0000097"	21
"29"	"GO:0000098"	21
"30"	"GO:0000101"	12
"31"	"GO:0000103"	40
"32"	"GO:0000105"	21
"33"	"GO:0000122"	27
"34"	"GO:0000132"	22
"35"	"GO:0000154"	25
"36"	"GO:0000165"	44
"37"	"GO:0000183"	4
"38"	"GO:0000184"	4
"39"	"GO:0000209"	28
"40"	"GO:0000212"	22
"41"	"GO:0000226"	11
"42"	"GO:0000244"	10
"43"	"GO:0000245"	10
"44"	"GO:0000255"	40
"45"	"GO:0000256"	49
"46"	"GO:0000266"	11
"47"	"GO:0000270"	49
"48"	"GO:0000271"	16
"49"	"GO:0000272"	16
"50"	"GO:0000278"	22
"51"	"GO:0000280"	22
"52"	"GO:0000281"	22
"53"	"GO:0000288"	4
"54"	"GO:0000289"	4
"55"	"GO:0000290"	4
"56"	"GO:0000296"	12
"57"	"GO:0000301"	37
"58"	"GO:0000302"	50
"59"	"GO:0000303"	50
"60"	"GO:0000304"	18
"61"	"GO:0000305"	50
"62"	"GO:0000320"	22
"63"	"GO:0000338"	26
"64"	"GO:0000348"	10
"65"	"GO:0000349"	10
"66"	"GO:0000350"	10
"67"	"GO:0000353"	10
"68"	"GO:0000354"	10
"69"	"GO:0000365"	25
"70"	"GO:0000375"	25
"71"	"GO:0000377"	25
"72"	"GO:0000378"	25
"73"	"GO:0000379"	25
"74"	"GO:0000380"	25
"75"	"GO:0000381"	4
"76"	"GO:0000387"	10
"77"	"GO:0000388"	10
"78"	"GO:0000389"	10
"79"	"GO:0000390"	10
"80"	"GO:0000393"	10
"81"	"GO:0000394"	25
"82"	"GO:0000395"	10
"83"	"GO:0000398"	25
"84"	"GO:0000409"	4
"85"	"GO:0000411"	4
"86"	"GO:0000413"	26
"87"	"GO:0000422"	10
"88"	"GO:0000423"	10
"89"	"GO:0000425"	10
"90"	"GO:0000429"	4
"91"	"GO:0000430"	4
"92"	"GO:0000431"	4
"93"	"GO:0000432"	4
"94"	"GO:0000435"	4
"95"	"GO:0000436"	4
"96"	"GO:0000447"	25
"97"	"GO:0000448"	25
"98"	"GO:0000451"	25
"99"	"GO:0000454"	25
"100"	"GO:0000455"	25
"101"	"GO:0000460"	25
"102"	"GO:0000461"	25
"103"	"GO:0000462"	25
"104"	"GO:0000463"	25
"105"	"GO:0000466"	25
"106"	"GO:0000467"	25
"107"	"GO:0000470"	25
"108"	"GO:0000472"	25
"109"	"GO:0000479"	25
"110"	"GO:0000480"	25
"111"	"GO:0000481"	25
"112"	"GO:0000491"	10
"113"	"GO:0000492"	10
"114"	"GO:0000493"	10
"115"	"GO:0000494"	25
"116"	"GO:0000495"	25
"117"	"GO:0000512"	4
"118"	"GO:0000578"	15
"119"	"GO:0000706"	2
"120"	"GO:0000707"	2
"121"	"GO:0000708"	2
"122"	"GO:0000709"	2
"123"	"GO:0000710"	2
"124"	"GO:0000711"	2
"125"	"GO:0000712"	22
"126"	"GO:0000715"	2
"127"	"GO:0000717"	2
"128"	"GO:0000720"	2
"129"	"GO:0000722"	2
"130"	"GO:0000723"	2
"131"	"GO:0000724"	2
"132"	"GO:0000725"	2
"133"	"GO:0000727"	2
"134"	"GO:0000729"	2
"135"	"GO:0000730"	10
"136"	"GO:0000731"	2
"137"	"GO:0000732"	2
"138"	"GO:0000741"	11
"139"	"GO:0000768"	11
"140"	"GO:0000819"	22
"141"	"GO:0000820"	46
"142"	"GO:0000821"	46
"143"	"GO:0000902"	27
"144"	"GO:0000910"	22
"145"	"GO:0000912"	10
"146"	"GO:0000915"	10
"147"	"GO:0000916"	22
"148"	"GO:0000917"	11
"149"	"GO:0000921"	10
"150"	"GO:0000956"	4
"151"	"GO:0000957"	25
"152"	"GO:0000958"	4
"153"	"GO:0000959"	25
"154"	"GO:0000960"	4
"155"	"GO:0000961"	4
"156"	"GO:0000962"	4
"157"	"GO:0000963"	25
"158"	"GO:0000964"	25
"159"	"GO:0000965"	25
"160"	"GO:0000966"	25
"161"	"GO:0000967"	25
"162"	"GO:0000968"	25
"163"	"GO:0000972"	2
"164"	"GO:0000973"	2
"165"	"GO:0001079"	4
"166"	"GO:0001080"	4
"167"	"GO:0001100"	42
"168"	"GO:0001101"	50
"169"	"GO:0001109"	25
"170"	"GO:0001111"	25
"171"	"GO:0001112"	10
"172"	"GO:0001113"	10
"173"	"GO:0001120"	10
"174"	"GO:0001172"	25
"175"	"GO:0001173"	25
"176"	"GO:0001174"	25
"177"	"GO:0001178"	4
"178"	"GO:0001188"	10
"179"	"GO:0001192"	25
"180"	"GO:0001193"	25
"181"	"GO:0001325"	2
"182"	"GO:0001408"	12
"183"	"GO:0001501"	32
"184"	"GO:0001502"	24
"185"	"GO:0001503"	27
"186"	"GO:0001504"	5
"187"	"GO:0001507"	49
"188"	"GO:0001508"	51
"189"	"GO:0001510"	25
"190"	"GO:0001514"	4
"191"	"GO:0001516"	21
