"","X","Y","Class","text"
"GO:0000002",-32.0757070947986,-0.85279436903157,"cellular component organization","mitochondrial genome maintenance"
"GO:0000012",-38.1845181419678,0.508659851670845,"stress response","single strand break repair"
"GO:0000017",26.3987172648211,-35.6548923917243,"transport","alpha-glucoside transport"
"GO:0000018",-35.2438183651746,1.38215378301807,"cell cycle","regulation of DNA recombination"
"GO:0000019",-35.7579441372319,-2.26201828903366,"cell cycle","regulation of mitotic recombination"
"GO:0000022",-47.9091678042161,-7.24836036571195,"cell cycle","mitotic spindle elongation"
"GO:0000023",-4.04167465976565,-52.6350749115219,"metabolic process","maltose metabolic process"
"GO:0000025",-6.68744014794147,-52.9207405462546,"metabolic process","maltose catabolic process"
"GO:0000027",-28.6385843150974,-33.9804443748728,"cellular component organization","ribosomal large subunit assembly"
"GO:0000028",-28.1624896149975,-34.4562229438132,"cellular component organization","ribosomal small subunit assembly"
"GO:0000038",7.58256499891884,-56.3867021969996,"metabolic process","very long-chain fatty acid metabolic process"
"GO:0000041",27.9846967008346,-33.0075175410863,"transport","transition metal ion transport"
"GO:0000045",-0.520067100731077,-16.7049943718379,"cellular component organization","autophagosome assembly"
"GO:0000050",5.04799548790389,-60.5091892686534,"metabolic process","urea cycle"
"GO:0000052",6.19019698513988,-61.7677207828418,"metabolic process","citrulline metabolic process"
"GO:0000053",6.46992403425604,-61.235446957425,"metabolic process","argininosuccinate metabolic process"
"GO:0000054",-0.458474703941724,-31.3578856154875,"transport","ribosomal subunit export from nucleus"
"GO:0000055",0.713908954349024,-32.719830394252,"transport","ribosomal large subunit export from nucleus"
"GO:0000056",0.690491882663486,-32.6884584597376,"transport","ribosomal small subunit export from nucleus"
"GO:0000070",-48.2974571310158,-7.12048391126863,"cell cycle","mitotic sister chromatid segregation"
"GO:0000075",-57.209796623443,4.24015908524465,"cell cycle","cell cycle checkpoint signaling"
"GO:0000076",-59.4373103924928,4.48322108320843,"cell cycle","DNA replication checkpoint signaling"
"GO:0000077",-57.3902015558946,4.72847091088953,"cell cycle","DNA damage checkpoint signaling"
"GO:0000079",-21.9410985269958,-9.09590132116738,"protein modification/signaling","regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082",-55.7187758280028,0.602544875652782,"cell cycle","G1/S transition of mitotic cell cycle"
"GO:0000086",-57.6196192919977,0.578930562849207,"cell cycle","G2/M transition of mitotic cell cycle"
"GO:0000096",6.09143382378795,-61.4070727359991,"metabolic process","sulfur amino acid metabolic process"
"GO:0000097",5.49393273658854,-62.0821903079871,"metabolic process","sulfur amino acid biosynthetic process"
"GO:0000098",6.52008206871015,-61.2309234388768,"metabolic process","sulfur amino acid catabolic process"
"GO:0000101",23.0228940498889,-36.4442602062835,"transport","sulfur amino acid transport"
"GO:0000103",-7.75372539536016,-60.7954632234857,"metabolic process","sulfate assimilation"
"GO:0000105",6.09645072436099,-61.9584774242347,"metabolic process","L-histidine biosynthetic process"
"GO:0000122",-31.0232928345284,-20.0228622978734,"gene regulation","negative regulation of transcription by RNA polymerase II"
"GO:0000132",-44.4849508487436,-7.19536926637511,"cellular component organization","establishment of mitotic spindle orientation"
"GO:0000154",-33.0631671770513,-36.2098159151486,"gene regulation","rRNA modification"
"GO:0000165",-15.2874984134884,4.7909182660701,"protein modification/signaling","MAPK cascade"
"GO:0000183",-37.0846615466614,-15.470035910332,"gene regulation","rDNA heterochromatin formation"
